Wavelength,1,2,3,4
nm,Counts,Counts,Counts,Counts
279.589,6200,6312,6340,6157
279.619,6415,6261,6182,6185
279.649,6381,6269,6139,5953
279.679,6211,6353,6117,6084
279.709,6319,6418,6362,6126
279.739,6305,6224,6305,6016
279.769,6280,6290,6227,6100
279.799,6489,6335,6293,6045
279.829,6342,6383,6151,6158
279.859,6358,6278,6329,6189
279.888,6363,6344,6348,6050
279.918,6355,6351,6332,6326
279.948,6335,6450,6304,6203
279.978,6539,6379,6315,6250
280.008,6475,6342,6421,6180
280.038,6409,6482,6231,6374
280.068,6507,6404,6264,6220
280.098,6926,6462,6171,6148
280.128,6640,6326,6303,6175
280.158,6369,6455,6327,6251
280.187,6467,6454,6307,6263
280.217,6612,6327,6252,5980
280.247,6445,6380,6314,6266
280.277,6468,6344,6376,6269
280.307,6557,6477,6161,6235
280.337,6266,6516,6448,6319
280.367,6309,6618,6447,6266
280.397,6377,6410,6411,6210
280.427,6362,6460,6342,6331
280.456,6507,6432,6459,6389
280.486,6497,6341,6467,6324
280.516,6329,6456,6290,6296
280.546,6557,6388,6348,6359
280.576,6440,6483,6394,6241
280.606,6525,6331,6396,6324
280.636,6528,6610,6430,6313
280.665,6650,6559,6498,6378
280.695,6558,6510,6424,6333
280.725,6566,6436,6436,6263
280.755,6489,6431,6332,6361
280.785,6601,6541,6483,6287
280.815,6377,6455,6420,6296
280.845,6746,6475,6294,6292
280.874,6723,6578,6426,6353
280.904,6591,6503,6469,6339
280.934,6578,6618,6472,6240
280.964,6587,6437,6454,6290
280.994,6540,6369,6470,6185
281.024,6486,6539,6405,6263
281.053,6543,6690,6508,6427
281.083,6537,8771,6435,6337
281.113,6526,6675,6530,6386
281.143,6580,6612,6603,6241
281.173,6726,6559,6466,6397
281.203,6567,6648,6532,6393
281.232,6560,6543,6576,6486
281.262,6555,6656,6569,6323
281.292,6632,6502,6586,6483
281.322,6668,6536,6606,6372
281.352,6685,6693,6611,6435
281.382,6797,6657,6723,6416
281.411,6749,6659,6608,6451
281.441,6693,6646,6506,6509
281.471,6626,6647,6568,6482
281.501,6885,6723,6564,6483
281.531,6793,6503,6618,6542
281.56,6606,6702,6678,6570
281.59,6698,6754,7420,6589
281.62,6618,6753,6980,6536
281.65,6726,6711,6748,6525
281.679,6768,6621,6757,6627
281.709,6785,6784,6583,6653
281.739,6791,6879,6834,6567
281.769,6908,6916,6632,6560
281.799,6864,6686,6705,6595
281.828,6685,6914,6643,6519
281.858,6856,6820,6715,6629
281.888,6948,6738,6951,6839
281.918,6914,6788,6852,6746
281.947,6852,6938,6735,6640
281.977,6932,6834,6787,6762
282.007,6940,6908,6815,6619
282.037,6990,6949,6819,6714
282.067,7103,6924,6747,6648
282.096,6926,6917,6824,6626
282.126,6989,7014,6727,6620
282.156,7035,6767,6827,6702
282.186,6989,6892,6901,6693
282.215,7022,6958,6835,6641
282.245,7081,7019,6780,6779
282.275,7180,7036,6803,6970
282.305,7261,6981,6829,6714
282.334,7003,6935,6862,6651
282.364,7124,6999,6882,6815
282.394,7111,7051,6894,6878
282.423,6972,6945,6943,6697
282.453,7085,7011,6887,6835
282.483,7018,7024,6930,6658
282.513,6892,7100,6916,6972
282.542,7086,6891,6958,6857
282.572,7140,7024,6902,6933
282.602,7123,7117,6840,6805
282.632,7255,6986,6900,6866
282.661,7104,7068,6809,6809
282.691,7062,6932,6986,6819
